lat,lng,class,colors
-7.339075377,112.7354836,51,"[81.31294088470588, 105.87257788235293, 172.83622816588235, 0.9]"
-7.265303397,112.6583555,35,"[143.29149657458825, 152.76477704188235, 168.02486429505882, 0.9]"
-7.325117923,112.7044472,17,"[173.68404986470588, 115.22863405058821, 93.56500776705883, 0.9]"
-7.3188959979999995,112.7368428,36,"[139.92795591388239, 151.36581869082355, 170.3068742865882, 0.9]"
-7.301476602,112.7669807,21,"[174.21729269717648, 130.65244345694117, 111.32806226117647, 0.9]"
-7.319551886,112.73899740000002,36,"[139.92795591388239, 151.36581869082355, 170.3068742865882, 0.9]"
-7.299554996,112.77683950000001,0,"[127.02116844, 2.8001088, 27.04190616, 0.9]"
-7.300827137000001,112.777381,21,"[174.21729269717648, 130.65244345694117, 111.32806226117647, 0.9]"
-7.268628597999999,112.761854,41,"[121.05683149058824, 140.91506048117648, 178.5567421122353, 0.9]"
-7.236431627000001,112.7823071,9,"[159.91028833341176, 75.18652514823528, 59.02162398070588, 0.9]"
-7.3158293389999995,112.7634241,40,"[124.79783126823529, 143.3365437070588, 177.53540049529414, 0.9]"
-7.345404541000001,112.6659814,57,"[58.269314745882355, 77.96851929882352, 155.65002396705881, 0.9]"
-7.257049682999999,112.65054779999998,56,"[61.789954218352946, 82.68365425129412, 159.1419458922353, 0.9]"
-7.327007711,112.7678712,33,"[149.60668104, 154.71237501599998, 162.55982856, 0.9]"
-7.245953159,112.75225420000001,15,"[171.5496480444706, 105.33795611364705, 83.76707423294118, 0.9]"
-7.220875207000001,112.76487639999999,34,"[146.46466473882353, 153.77073093882353, 165.3264184517647, 0.9]"
-7.253672472000001,112.63488170000001,46,"[101.73268462023529, 125.89892008941176, 179.39431262117648, 0.9]"
-7.32738993,112.70344399999999,17,"[173.68404986470588, 115.22863405058821, 93.56500776705883, 0.9]"
-7.325565032,112.7046142,17,"[173.68404986470588, 115.22863405058821, 93.56500776705883, 0.9]"
-7.283805726000001,112.70426950000001,53,"[73.72999740141177, 97.3365315727059, 168.3980500475294, 0.9]"
-7.340452956,112.6981625,58,"[54.751371660705885, 73.25007891105882, 152.14729080564706, 0.9]"
-7.2878937960000005,112.6962258,53,"[73.72999740141177, 97.3365315727059, 168.3980500475294, 0.9]"
-7.251143119,112.76406680000001,19,"[174.47194241999998, 123.29671447482353, 102.41555872658823, 0.9]"
-7.328276215,112.70545590000002,17,"[173.68404986470588, 115.22863405058821, 93.56500776705883, 0.9]"
-7.288112633,112.6986285,53,"[73.72999740141177, 97.3365315727059, 168.3980500475294, 0.9]"
-7.255356727000001,112.7864075,12,"[166.83893639788235, 90.9758783322353, 71.07585798847057, 0.9]"
-7.317981256,112.7381132,36,"[139.92795591388239, 151.36581869082355, 170.3068742865882, 0.9]"
-7.263279787,112.79049380000001,12,"[166.83893639788235, 90.9758783322353, 71.07585798847057, 0.9]"
-7.324795984,112.76647,33,"[149.60668104, 154.71237501599998, 162.55982856, 0.9]"
-7.326717315,112.65194299999999,32,"[152.52568301011766, 155.2450468277647, 159.39728466564705, 0.9]"
-7.298068616,112.75518100000001,25,"[170.1972538037647, 143.749033296, 130.15897511364707, 0.9]"
-7.261007337000001,112.6977165,48,"[92.92685445741175, 117.80956990588236, 177.55333196611764, 0.9]"
-7.310022841,112.7549125,23,"[172.9046157162353, 137.25018333458823, 120.23343847835292, 0.9]"
-7.2879859279999994,112.69281240000001,53,"[73.72999740141177, 97.3365315727059, 168.3980500475294, 0.9]"
-7.225107615,112.7695044,55,"[65.42294316141177, 87.26106273317647, 162.1833996409412, 0.9]"
-7.252582727999999,112.7690318,19,"[174.47194241999998, 123.29671447482353, 102.41555872658823, 0.9]"
-7.25503477,112.6344112,46,"[101.73268462023529, 125.89892008941176, 179.39431262117648, 0.9]"
-7.254677582,112.73847430000001,8,"[157.2124108595294, 69.65273503058822, 55.1398435157647, 0.9]"
-7.30989873,112.71870890000001,29,"[161.917777188, 152.55004247999997, 147.202033392, 0.9]"
-7.332084067,112.74613159999998,1,"[131.25526773035293, 15.602208632470589, 30.103272612705883, 0.9]"
-7.237560521,112.77005700000001,9,"[159.91028833341176, 75.18652514823528, 59.02162398070588, 0.9]"
-7.313397507,112.710536,29,"[161.917777188, 152.55004247999997, 147.202033392, 0.9]"
