kode,jml,peminat,lat,lng,polygons,colors
SMP54,144,430,-7.2277026334216,112.78493157539,"[[112.79650794,  -7.17773411], [112.7833987 ,  -7.20674135], [112.78143535,  -7.21944482], [112.78350708,  -7.23662168], [341.24323795,  67.19257842], [239.90047177, 196.7294429 ]]","[193.42740055, 212.36058148499998, 244.394002955, 0.9]"
SMP55,96,247,-7.3350966794821,112.71196211905,"[[112.7020712 ,  -7.33308193], [112.70656023,  -7.3308916 ], [112.71534785,  -7.33314567], [112.68777868,  -7.41919145], [112.69790154,  -7.34148286]]","[236.35515989700002, 128.882494304, 100.69079881699999, 0.9]"
SMP56,96,885,-7.284148,112.707614,"[[112.69575961,  -7.27647828], [112.70613878,  -7.29427673], [112.71891794,  -7.27665464], [112.71844669,  -7.2748068 ], [112.704546  ,  -7.27206574]]","[236.35515989700002, 128.882494304, 100.69079881699999, 0.9]"
SMP57,112,231,-7.344208,112.73876,"[[  57.33473195, -241.30779317], [ 124.01837532, -247.56437924], [112.77646929,  -7.54943386], [112.74395402,  -7.33281513], [112.73104767,  -7.33121517], [112.67641346,  -7.48980254]]","[247.059937593, 181.26381337200002, 152.97462863, 0.9]"
SMP58,96,923,-7.227289086523,112.767159249,"[[112.75575285,  -7.22439708], [112.75580492,  -7.22408173], [112.77093811,  -7.22310542], [112.77276772,  -7.23815576], [112.77268707,  -7.23918336], [112.76233166,  -7.23832999], [112.75708127,  -7.23244086]]","[236.35515989700002, 128.882494304, 100.69079881699999, 0.9]"
SMP59,96,287,-7.3225678267105,112.68539292509,"[[112.69044645,  -7.32329878], [112.6753793 ,  -7.31530606], [112.6666031 ,  -7.32829205], [112.68890195,  -7.32694206]]","[236.35515989700002, 128.882494304, 100.69079881699999, 0.9]"
SMP60,160,546,-7.2282971,112.7800028,"[[112.77268707,  -7.23918336], [112.77618942,  -7.24155686], [112.78350708,  -7.23662168], [112.78143535,  -7.21944482], [112.77276772,  -7.23815576]]","[146.893079596, 180.73886906, 254.42742096, 0.9]"
SMP61,96,683,-7.2567168495673,112.65615749049,"[[112.66222342,  -7.26507706], [112.64506796,  -7.26108368], [112.64584607,  -7.23755161], [112.66404879,  -7.26159574]]","[236.35515989700002, 128.882494304, 100.69079881699999, 0.9]"
SMP62,96,216,-7.3415817415616,112.79483067644,"[[ 124.01837532, -247.56437924], [353.14447308,   4.69872069], [113.16485825,  -7.27370275], [112.79494561,  -7.32393575], [112.78634086,  -7.3307094 ], [112.77366646,  -7.35034289], [112.77646929,  -7.54943386]]","[236.35515989700002, 128.882494304, 100.69079881699999, 0.9]"
SMP63,73,78,-7.1978054943672,112.6632064633,"[[112.63926572,  -7.22218726], [112.64427613,  -7.22467707], [112.68512812,  -7.22595183], [112.69442933,  -7.2163879 ], [112.71539584,  -7.16282658], [144.10648677, 231.05588357], [-28.82349972, 186.998925  ]]","[179.94665529, 3.9668208, 38.30936706, 0.9]"
