kode,lat,lng,jml,polygons,colors
SMP19,-7.28153738071875,112.71057958333333,96,"[[112.70515608,  -7.28842576], [112.72181301,  -7.28086929], [112.71951386,  -7.2719789 ], [112.7063906 ,  -7.27109057], [112.70015727,  -7.27545121]]","[236.35515989700002, 128.882494304, 100.69079881699999, 0.9]"
SMP20,-7.250209973625,112.76504193958333,144,"[[112.75905193,  -7.24540029], [112.75766555,  -7.25267771], [112.75935228,  -7.25787451], [112.76924577,  -7.26292824], [112.77775593,  -7.249178  ], [112.77701681,  -7.2461809 ], [112.76841007,  -7.2392119 ], [112.76446436,  -7.23888804]]","[193.42740055, 212.36058148499998, 244.394002955, 0.9]"
SMP21,-7.3062172161625,112.732516570625,160,"[[112.73210109,  -7.29111498], [112.72915908,  -7.291169  ], [112.71837012,  -7.30274823], [112.7234369 ,  -7.31279805], [112.72799259,  -7.31661524], [112.74431473,  -7.30907473]]","[146.893079596, 180.73886906, 254.42742096, 0.9]"
SMP22,-7.304272819052083,112.77577738958334,96,"[[112.76595616,  -7.29853827], [112.76705209,  -7.29541673], [112.78644203,  -7.29692615], [112.78280132,  -7.3102867 ], [112.76971899,  -7.31339881], [112.76956289,  -7.31325809]]","[236.35515989700002, 128.882494304, 100.69079881699999, 0.9]"
SMP23,-7.25501233304375,112.750245955,160,"[[112.74165083,  -7.24947727], [112.74388629,  -7.26189301], [112.74506301,  -7.26519626], [112.74532142,  -7.265182  ], [112.75935228,  -7.25787451], [112.75766555,  -7.25267771]]","[146.893079596, 180.73886906, 254.42742096, 0.9]"
SMP24,-7.308163550465278,112.75989847708334,144,"[[112.75052608,  -7.30563615], [112.76595616,  -7.29853827], [112.76956289,  -7.31325809], [112.75015127,  -7.31543643], [112.74708563,  -7.30994155]]","[193.42740055, 212.36058148499998, 244.394002955, 0.9]"
SMP25,-7.249990539455357,112.72821855089286,112,"[[112.72325563,  -7.26020834], [112.72848341,  -7.25705446], [112.73750223,  -7.24846422], [112.72281483,  -7.24422528], [112.72112979,  -7.25715117]]","[247.059937593, 181.26381337200002, 152.97462863, 0.9]"
SMP26,-7.2968748224375,112.75470563203125,128,"[[112.75013161,  -7.28625138], [112.76266106,  -7.28434292], [112.76705209,  -7.29541673], [112.76595616,  -7.29853827], [112.75052608,  -7.30563615]]","[230.22641093100003, 215.4228909, 207.052307604, 0.9]"
SMP27,-7.30553126983125,112.664820563125,160,"[[112.67770393,  -7.30660202], [112.68104092,  -7.29688272], [112.6750258 ,  -7.28661946], [112.66748557,  -7.28525775], [112.65196355,  -7.28894939], [112.66212559,  -7.32685572], [112.6648208 ,  -7.32534737]]","[146.893079596, 180.73886906, 254.42742096, 0.9]"
SMP28,-7.233629905775,112.77846707,160,"[[112.77701681,  -7.2461809 ], [112.76841007,  -7.2392119 ], [112.77190534,  -7.23225108], [112.77478394,  -7.23082256], [112.78673106,  -7.23602979]]","[146.893079596, 180.73886906, 254.42742096, 0.9]"
SMP29,-7.226191515515625,112.77477572708334,192,"[[112.77008358,  -7.2233741 ], [112.77190534,  -7.23225108], [112.77478394,  -7.23082256], [296.40306497, 147.71739454], [264.9871424 , 178.67515354]]","[58.6004535, 76.17308133, 192.189204015, 0.9]"
SMP30,-7.316184499926137,112.71274672670455,176,"[[112.71241339,  -7.32233414], [112.7234369 ,  -7.31279805], [112.71837012,  -7.30274823], [112.70364107,  -7.3021199 ], [112.70186419,  -7.30310684], [112.70075909,  -7.31375447]]","[100.480627924, 133.215430736, 235.85365469799999, 0.9]"
SMP31,-7.2970521087125,112.745993555625,160,"[[112.75013161,  -7.28625138], [112.75052608,  -7.30563615], [112.74708563,  -7.30994155], [112.74431473,  -7.30907473], [112.73210109,  -7.29111498], [112.74223268,  -7.28435963]]","[146.893079596, 180.73886906, 254.42742096, 0.9]"
